site_name,gps_latitude,gps_longitude,collection_day,collection_month,collection_year,crop_rotation_primary_y0,crop_rotation_companion_y0,crop_rotation_primary_y1,crop_rotation_companion_y1,crop_rotation_primary_y2,crop_rotation_companion_y2,crop_rotation_primary_y3,crop_rotation_companion_y3,crop_rotation_primary_y4,crop_rotation_companion_y4,crop_rotation_primary_y5,crop_rotation_companion_y5,wheat_cultivar,take_all_seen,take_all_evidence,take_all_time,fertiliser_use,fertiliser_use_nitrogen,fertiliser_use_phosphous,fertiliser_use_potassium,fertiliser_use_micronutrients,fertiliser_use_other,fertiliser_application_rate_monthly,fertiliser_application_rate_every_six_months,fertiliser_application_rate_yearly,fertiliser_application_rate_every_two_years,fertiliser_application_rate_every_other,manure_use,manure_application_rate_monthly,manure_application_rate_every_six_months,manure_application_rate_yearly,manure_application_rate_every_two_years,manure_application_rate_other,pesticides__insecticides_use,fungicides_use,herbicides_use,tillage,tillage_method,soil_texture,soil_ph,available_p,available_k,available_mg,available_ca,available_na,extractable_cu,extractable_zn,extractable_fe,extractable_so4,extractable_mo,extractable_mn,extractable_cu,extractable_co
109,53.314167,0.024722,23,7,2024,winter_wheat,,combining_peas,oats,winter_wheat,,winter_linseed,,winter_wheat,,,,Common wheat/bread wheat,Yes,"Premature death,Bleaching/discolouration,Lower tillering",Five years or more,Yes,Yes,No,No,No,No,No,No,,,3 sp. Applications totalling 190kgN/ha,Yes,,,,,Composted manure 1 in 4 yrs,,Yes,Yes,No,,,,,,,,,,,,,,,,
8JF.1,53.829639,-0.534361,5,8,2024,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
46,52.857397,0.535569,19,8,2024,winter_wheat,,spring_barley,,sugar_beet,,winter_wheat,,spring_barley,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,,Yes,,,,,every 4 years,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
4LQ.1,51.23002,1.23029,20,8,2024,winter_wheat,,winter_oats,,winter_wheat,,winter_wheat,,winter_beans,,,,Common wheat/bread wheat; Heritage wheat,No,N/A,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,,,Yes,,,,,Every three years,Yes,,,No,,,,,,,,,,,,,,,,
4LQ.2,51.22593,1.22016,20,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,16,8,2024,wheat,,fallow_MLS,,kale,,spring_barley,,spring_oats,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,Yes,Yes,No,No,No,Yes,,,As needed,Yes,,Yes,,,,,Yes,Yes,Yes,"Ploughed, Primary Tilling",,,,,,,,,,,,,,,
127,53.364007,-0.32783013,27,8,2024,winter_wheat,,winter_wheat,,spring_barley,,oilseed_rape,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,Yes,Yes,Yes,No,No,No,,,"Nitrogen- March, April, May; Phosphate-March; Potassium-April",No,,,,,,,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
128,53.288624,-0.33077522,27,8,2024,winter_wheat,,spring_barley,,spring_barley,,spring_barley,,oilseed_rape,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,Yes,Yes,Yes,No,No,No,,,"Nitrogen- March, April, May; Phosphate-March; Potassium-April",No,,,,,,,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
129,53.172041,-0.3064277,27,8,2024,winter_wheat,,winter_wheat,,oilseed_rape,,winter_barley,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,Yes,Yes,Yes,No,No,No,,,"Nitrogen- March, April, May; Phosphate-March; Potassium-April",No,,,,,,,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
179,51.67664,0.25863,24,8,2024,wheat,,wheat,,oilseed_rape,,,,,,,,Var Palladium ,No,N/A,,Yes,Yes,No,No,Yes,Magnesium;Manganese,,,,,240kg/Ha split in three,No,,,,,,,Yes,Yes,Yes,Direct drilling ,,,,,,,,,,,,,,,
180,51.76888,0.26238,1,8,2024,wheat,,wheat,,spring_barley,,,,,,,,Var Edgar,Yes,Lower Tillering ,One year,Yes,Yes,Yes,Yes,Yes,Polysulphate(Sulphur/ Potash/ Magnesium/ Calcium);Manganese;Magnesium,Yes,,Yes,,,No,,,,,,,,Yes,Yes,Ploughed,,,,,,,,,,,,,,,
34,52.103402,0.135171,19,6,2024,wheat,,oats,,sugar_beet,,wheat,,,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,Yes,Ploughed,,,,,,,,,,,,,,,
4EH.1,51.893792,-0.825926,24,6,2024,spring_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_wheat,,,,X days,No,N/A,,Yes,Yes,,,,Sulfur,,,,Yes,220Kile N/hectare; 20 kilo S/hectare,,,,,Yes,30 tons/hectare,,Yes,Yes,No,,,,,,,,,,,,,,,,
4EH.2,51.883353,-0.82113,24,6,2024,winter_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_oats,,,,X days,No,N/A,,Yes,Yes,,,,Sulfur,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,,,,
153,51.123643,-1.474887,17,7,2024,winter_wheat,,wheat,OSR,spring_barley,,winter_wheat,,winter_OSR,,,,,No,N/A,,,,,,,,,,,,,,,,,,,,,,Yes,Crop established using strip till drill with no prior cultivations,,,,,,,,,,,,,,,
154,51.135652,-1.437166,17,7,2024,winter_wheat,,wheat,OSR,spring_barley,,spring_barley,,winter_wheat,,,,,No,N/A,,,,,,,,,,,,,,,,,,,,,,Yes,Crop established using strip till drill with no prior cultivations,,,,,,,,,,,,,,,
155,51.126518,-1.457158,17,7,2024,winter_wheat,,grass_ley,,grass_ley,,grass_ley,,winter_wheat,,,,,No,N/A,,,,,,,,,,,,,,,,,,,,,,Yes,Crop established using strip till drill with no prior cultivations,,,,,,,,,,,,,,,
6LF.1/6LP.1,52.284838,-2.328044,26,6,2024,wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,,Yes,,Sulphur,,,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
9JG.1,50.839038,-2.088601,15,7,2024,OSR,,spring_barley,,spring_barley,,winter_barley,,winter_wheat,,,,Common wheat/bread wheat,No,No evidence,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,No,,,,,,Yes,,Yes,No,Zero Tillage,,,,,,,,,,,,,,,
9JG.2,50.853376,-2.080443,15,7,2024,winter_wheat,,spring_wheat,,winter_barley,,winter_wheat,,winter_barley,,,,Common wheat/bread wheat,No,No evidence,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,No,,,,,,Yes,,Yes,No,Zero Tillage,,,,,,,,,,,,,,,
2JJ.1,53.606472,-1.497083,8,8,2024,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,None,N/A,,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,
2JJ.2,53.605750,-1.501528,8,8,2024,winter_wheat,,wheat,,wheat,,OSR,,wheat,,,,,None,N/A,,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,
211,53.603583,-1.501417,8,8,2024,wheat,,wheat,,OSR,,wheat,,wheat,,,,,None,N/A,,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,
212,53.605444,-1.505111,8,8,2024,wheat,,wheat,,OSR,,wheat,,wheat,,,,,None,N/A,,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,
9HF.1,51.546639,-1.275528,26,9,2024,group_2_2nd ,,seed_wheat,,OSR,,group_3 ,,Poppy,,,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
WB6,53.1888223,-0.3329309,21,1,2025,feed_wheat_2nd,,feed_wheat,,OSR,,group_1,,Peas,,group 2 wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
GF20,53.1938292,-0.3448469,21,1,2025,feed_wheat_2nd,,feed_wheat,,OSR,,group_1,,peas,,spring_wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
DF33,53.1679557,-0.3351923,20,1,2025,feed_wheat_2nd,,feed_wheat,,OSR,,feed_wheat_2nd,,feed_wheat,,maize,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
MD7,53.1762805,-0.3453237,22,1,2025,group_2,,maize,,feed_wheat,,OSR,,group_1_2nd,,spring_wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
F17,53.1985403,-0.3623798,23,1,2025,group_2,,potatoes,,feed_wheat,,OSR,,group_2,,maize,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
MD1,53.1781748,-0.3528241,21,1,2025,group_3,,maize,,feed_wheat,,OSR,,group_1_2nd,,spring_wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
PF3,53.203671,-0.3519501,23,1,2025,feed_wheat,,Oats & Vetch,,feed_wheat_2nd,,group_1,,peas,,spring_wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
D4,53.1728614,-0.3572297,22,1,2025,group_3,,maize,,feed_wheat,,OSR,,group_1,,feed_wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
DF21,53.1736608,-0.3356872,20,1,2025,feed_wheat,,feed_wheat,,OSR,,feed_wheat_2nd,,feed_wheat,,potatoes,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
GF1,53.1811337,-0.3816646,21,1,2025,feed_wheat,,malting_barley,,maize,,group_1,,potatoes,,group_1,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
F5,53.196725,-0.3491763,23,1,2025,group_1,,Peas,,feed_wheat,,OSR,,feed_wheat,,maize,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,,,,,,,,,,,,,,,
2JJ.5,53.60575,-1.501528,3,2,2025,wheat,,wheat,,wheat,,wheat,,OSR,,wheat,,,None,N/A,N/A,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,
2JJ.FK1 75,53.606472,-1.497083,3,2,2025,wheat,,wheat,,OSR,,wheat,,wheat,,OSR,,,None,N/A,N/A,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,
2JJ.FK2 92,53.60575,-1.501528,3,2,2025,wheat,,wheat,,wheat,,wheat,,OSR,,wheat,,,None,N/A,N/A,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,
8JF.2,53.829639,-0.534361,4,2,2025,wheat,,wheat,,OSR,,wheat,,wheat,,OSR,,,Yes,Black lesions,Five years or more,Yes,Yes,Yes,Yes,Mg,Sulphur,,,,,N 3x spring,Yes,,,,,Every 4 yrs,No,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
8JF.3,53.8375,-0.513111,4,2,2025,wheat,,wheat,,Peas,,wheat,,wheat,,OSR,,,Yes,Black lesions,Five years or more,Yes,Yes,Yes,Yes,Mg,Sulphur,,,,,N 3x spring,Yes,,,,,Every 4 yrs,No,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
8JF.4,53.834361,-0.5275,5,2,2025,wheat,,Peas,,wheat,,wheat,,OSR,,wheat,,,Yes,Black lesions,Five years or more,Yes,Yes,Yes,Yes,Mg,Sulphur,,,,,N 3x spring,Yes,,,,,Every 4 yrs,No,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
6DA.01,51.124333,-1.454944,12,2,2025,winte_ wheat,,OSR,,spring_barley,,wheat,,Spring linseed,,grass_ley,,cv Crusoe,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Strip-till crop establishment,,,,,,,,,,,,,,,
6DA.02,51.12525,-1.444222,12,2,2025,winte_ wheat,,herbal_ ley,,herbal_ley,,herbal_ley,,lucerne,,lucerne,,cv Soissons,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Direct drilled,,,,,,,,,,,,,,,
6DA.FK1 87,51.129111,-1.441139,12,2,2025,winte_ wheat,,herbal_ ley,,herbal_ley,,herbal_ley,,spring_oats,,winter_wheat,,cv Soissons,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Direct drilled,,,,,,,,,,,,,,,
6DA.03,51.130528,-1.46625,13,2,2025,winte_ wheat,,spring_oats,,winter_wheat,,OSR,,spring_barley,,winter_wheat,,cv Crusoe,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Strip-till crop establishment,,,,,,,,,,,,,,,
6DA.04,51.140722,-1.457222,13,2,2025,winte_ wheat,,herbal_ ley,,herbal_ley,,herbal_ley,,spring_barley,,grass_ley,,cv Soissons,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Direct drilled,,,,,,,,,,,,,,,
6DA.FK2 86,51.144278,-1.442694,13,2,2025,winte_ wheat,,OSR,,spring_barley,,winter_wheat,,spring_oats,,grass_ley,,cv Crusoe,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Strip-till crop establishment,,,,,,,,,,,,,,,
6DA.FK385,51.13925,-1.453722,13,2,2025,winte_ wheat,,grass_ley,,grass_ley,,grass_ley,,grass_ley,,grass_ley,,cv Nelson,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Direct drilled,,,,,,,,,,,,,,,
5RA.1,50.795919,0.169297,10,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5RA.2,50.798874,0.167721,10,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9JA.1,51.368146,-2.440479,16,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TH.1,51.482467,-0.887181,22,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TH.2,51.475886,-0.894541,22,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4QG.1,51.261000,-0.352722,28,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4QG.2,51.260778,-0.35475,28,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4QG.3,51.264389,-0.35525,28,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6FX.01,52.039222,-0.915806,3,3,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6FX.02,52.041361,-0.915361,3,3,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6FX.03,52.043806,-0.917278,4,3,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6FX.04,52.045806,-0.914611,4,3,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
